PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0168M00216000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9178631452284, 40.4950292656502], [-79.9179299751967, 40.4947867030985], [-79.9180054322458, 40.4947984224324], [-79.9179363388131, 40.4950404783675], [-79.9178631452284, 40.4950292656502]]]]}",1880, ,MIDDLE ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,1800.0,,06-27-1980,25000.0,0,VALID SALE,,,,,42800.0,OLD STYLE,2,1910.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1720.0,1.0,,2019.0
0168H00009000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9200991095595, 40.4965709487408], [-79.9201288615151, 40.496349948377], [-79.9202424856244, 40.4963600809238], [-79.9202113108965, 40.4965787738074], [-79.9201116986834, 40.4965709641763], [-79.9200991095595, 40.4965709487408]]]]}",1830, ,FRONT ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,2570.0,07-22-2013,07-22-2013,125000.0,36,QUIT CLAIM / SPEC WARRNTY,09-15-2009,1.0,03-05-2001,87000.0,94900.0,COLONIAL,2,1989.0,Frame,SHINGLE,Full,C-,AVERAGE -,AVERAGE,FAIR,7.0,3.0,1.0,1.0,Central Heat with AC,1.0,1,1754.0,1.0,,2019.0
0168M00056000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9187349219316, 40.49597791117], [-79.9187358331446, 40.4959683894681], [-79.9187792713839, 40.4955143645389], [-79.9189465762418, 40.4955441083016], [-79.9189647996021, 40.4954817113127], [-79.9190331188629, 40.4954951199944], [-79.9189950906178, 40.495626670609], [-79.9192534756714, 40.495664567699], [-79.9192131687334, 40.4959932030465], [-79.9191395086568, 40.4959882049345], [-79.9188125547839, 40.4959837391622], [-79.9187349219316, 40.49597791117]]]]}",1850, ,CHAPMAN ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,SUBURBAN (NORTH OF PITTSBURGH),CORPORATION,INDUSTRIAL,HEAVY MANUFACTURING,19596.0,08-17-2017,08-10-2017,490000.0,H,MULTI-PARCEL SA,12-31-1973,0.0,,,334400.0,,,,,,,,,,,,,,,,,,,,,2019.0
0168L00280000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9232820721428, 40.4961751645325], [-79.9229557073953, 40.496148507559], [-79.9229595553868, 40.496114455839], [-79.9232859472635, 40.4961419592808], [-79.9232820721428, 40.4961751645325]]]]}",226, ,17TH ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR,RESIDENTIAL,ROWHOUSE,1125.0,05-30-2006,05-30-2006,1.0,3,LOVE&AFFECTION,05-05-1950,0.0,,,33300.0,ROW INTERIOR,2,1910.0,Frame,SHINGLE,Full,D,BELOW AVERAGE,AVERAGE,FAIR,5.0,2.0,1.0,1.0,Central Heat with AC,0.0,0,1350.0,1.0,,2019.0
0168L00352000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9229866524459, 40.4965226592467], [-79.9230049011149, 40.4963495822149], [-79.9230842441697, 40.496356237631], [-79.9230651242775, 40.4965301771331], [-79.9229866524459, 40.4965226592467]]]]}",1760, ,S CANAL ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR-ETUX OR ET VIR,RESIDENTIAL,TOWNHOUSE,1365.0,,12-02-2002,74000.0,0,VALID SALE,10-05-1992,1.0,,,79300.0,TOWNHOUSE,2,1979.0,Masonry FRAME,SHINGLE,Full,D+,BELOW AVERAGE +,AVERAGE,AVERAGE,6.0,3.0,1.0,1.0,Central Heat with AC,0.0,1,1368.0,1.0,,2019.0
0168M00267000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9184549059023, 40.4947540259867], [-79.9185306814823, 40.4945091905219], [-79.9186089137604, 40.4945233285687], [-79.9185340070736, 40.4947662719934], [-79.9184549059023, 40.4947540259867]]]]}",1865, ,MIDDLE ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR,RESIDENTIAL,TWO FAMILY,2090.0,11-13-2015,11-12-2015,90000.0,36,QUIT CLAIM / SPEC WARRNTY,03-02-2015,26000.0,04-25-1984,4000.0,72400.0,MULTI-FAMILY,2,1910.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,9.0,5.0,2.0,0.0,Central Heat with AC,0.0,0,2056.0,1.0,,2019.0
0168K00226000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9257485422251, 40.4955902707227], [-79.9258256398197, 40.4955830768101], [-79.9258443564931, 40.4958286345507], [-79.9257668046972, 40.4958356765035], [-79.9257485422251, 40.4955902707227]]]]}",1515, ,MARYS AVE,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR-ETAL,RESIDENTIAL,SINGLE FAMILY,1996.0,04-23-2015,04-22-2015,92000.0,36,QUIT CLAIM / SPEC WARRNTY,01-31-1969,0.0,,,53800.0,OLD STYLE,2,1900.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,6.0,3.0,1.0,1.0,Central Heat with AC,0.0,0,1710.0,1.0,,2019.0
0167S00177000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9363121209767, 40.4933027411494], [-79.9365184352163, 40.4932681693275], [-79.9365592930319, 40.4933550985166], [-79.9363649445156, 40.4934057384293], [-79.9363121209767, 40.4933027411494]]]]}",0, ,SHORT CANAL ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,SUBURBAN (NORTH OF PITTSBURGH),REGULAR-ETUX OR ET VIR,COMMERCIAL,COMMERCIAL GARAGE,2419.0,,01-12-1977,5000.0,0,VALID SALE,,,,,51800.0,,,,,,,,,,,,,,,,,,,,,2019.0
0167M00271000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9360288885757, 40.4951171557602], [-79.9361711152185, 40.4948574070986], [-79.9363139413288, 40.4949109494058], [-79.9362304227212, 40.495067004606], [-79.936174418103, 40.4951716501196], [-79.9360288885757, 40.4951171557602]]]]}",500, ,N MAIN ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,SUBURBAN (NORTH OF PITTSBURGH),REGULAR-ETUX OR ET VIR,COMMERCIAL,APART:20-39 UNITS,4707.0,,09-11-1997,300000.0,4,OTHER,,,,,405000.0,,,,,,,,,,,,,,,,,,,,,2019.0
0168M00355000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9193895214029, 40.4942062163809], [-79.919376003928, 40.4939119142191], [-79.919489541165, 40.4939334671197], [-79.9194897266193, 40.4939344360032], [-79.9195030537281, 40.494004077975], [-79.9194991371599, 40.494091925678], [-79.9194636917601, 40.4942198582753], [-79.9193895214029, 40.4942062163809]]]]}",1851, ,MAIN ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR,RESIDENTIAL,SINGLE FAMILY,2885.0,05-26-2004,05-26-2004,25000.0,0,VALID SALE,04-05-1995,8000.0,,,39400.0,OLD STYLE,2,1900.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1080.0,1.0,,2019.0
0168L00358000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9228035884088, 40.496506259991], [-79.9227444422919, 40.4964994770617], [-79.9227745427308, 40.4963304794918], [-79.9228525325441, 40.4963369999773], [-79.9228251977028, 40.4965071585171], [-79.9228035884088, 40.496506259991]]]]}",1766, ,S CANAL ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR,RESIDENTIAL,TOWNHOUSE,1452.0,,08-29-2002,74000.0,U,OTHER VALID,03-05-1981,43680.0,,,86100.0,TOWNHOUSE,2,1979.0,Masonry FRAME,SHINGLE,Full,D+,BELOW AVERAGE +,AVERAGE,AVERAGE,6.0,3.0,1.0,1.0,Central Heat with AC,0.0,1,1368.0,1.0,,2019.0
0167M00158000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9339865730253, 40.495661120885], [-79.9341380639765, 40.4956558986614], [-79.9341410316775, 40.495694530949], [-79.9341428557726, 40.4957182894286], [-79.9339884681348, 40.4957238810313], [-79.9339865730253, 40.495661120885]]]]}",219, ,9TH ST REAR,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,966.0,,07-25-1991,37000.0,0,VALID SALE,,,,,38200.0,OLD STYLE,2.5,1915.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1458.0,1.0,,2019.0
0168E00075000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9315200776911, 40.4966368484782], [-79.9315182050202, 40.4966067715415], [-79.9318231364272, 40.4965961230122], [-79.931826854581, 40.4966544927215], [-79.9315218645231, 40.4966642731504], [-79.9315200776911, 40.4966368484782]]]]}",320, ,LINDEN AVE,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR,RESIDENTIAL,SINGLE FAMILY,1743.0,,02-14-1917,0.0,N,NOT APPLICABLE,,,,,34200.0,OLD STYLE,2,1910.0,Frame,SHINGLE,Full,D,BELOW AVERAGE,POOR,POOR,4.0,2.0,1.0,0.0,Central Heat,0.0,0,1088.0,1.0,,2019.0
0168J00077000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9322554703797, 40.4952019282465], [-79.932370615687, 40.4952035080677], [-79.9323717371292, 40.4951964851485], [-79.9325819827943, 40.4952053767455], [-79.9325848688864, 40.4952528709382], [-79.9322587973962, 40.4952621131405], [-79.9322554703797, 40.4952019282465]]]]}",202, ,10TH ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR-ETUX OR ET VIR,RESIDENTIAL,ROWHOUSE,1909.0,10-01-2010,10-01-2010,55000.0,UR,OTHER VALID,09-02-2009,1.0,10-01-1997,25000.0,52500.0,ROW INTERIOR,2,1885.0,Brick,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,7.0,3.0,2.0,0.0,Central Heat,0.0,0,2158.0,1.0,,2019.0
0168L00043000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.921386065501, 40.4955867026057], [-79.9214013811063, 40.4954620070618], [-79.9214071053783, 40.4954164105227], [-79.9215153500917, 40.4954270780771], [-79.921494258149, 40.4955957456457], [-79.921386065501, 40.4955867026057]]]]}",208, ,18TH ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,1800.0,07-09-2003,07-09-2003,33000.0,9,OTHER INVALID,01-16-2003,1679.0,12-16-1991,0.0,80900.0,OLD STYLE,2,1910.0,Frame,SLATE,Full,C,AVERAGE,FAIR,FAIR,8.0,4.0,2.0,0.0,Central Heat,0.0,0,2397.0,1.0,,2019.0
0168G00063000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9233833936, 40.4968773982326], [-79.923429970883, 40.4965650349318], [-79.923493557569, 40.4965710475827], [-79.9235179204656, 40.4965736789006], [-79.9234747916124, 40.4968814241789], [-79.9233833936, 40.4968773982326]]]]}",0, ,NOBLE ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR,RESIDENTIAL,VACANT LAND,3100.0,,07-30-1969,0.0,N,NOT APPLICABLE,,,,,1100.0,,,,,,,,,,,,,,,,,,,,,2019.0
0168J00082000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9322700953371, 40.4954592550273], [-79.9325961869441, 40.4954496691905], [-79.9325986872481, 40.4954991153928], [-79.932273511824, 40.4955092325865], [-79.9322700953371, 40.4954592550273]]]]}",212, ,10TH ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR-ETUX OR ET VIR,RESIDENTIAL,ROWHOUSE,1615.0,09-23-2011,09-23-2011,31000.0,UR,OTHER VALID,12-16-2003,1.0,06-16-1967,0.0,31000.0,ROW INTERIOR,2,1885.0,Brick,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1766.0,1.0,,2019.0
0168J00351000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9292171476624, 40.4949651649872], [-79.9290879783237, 40.4949748064007], [-79.9290763294767, 40.4948230685521], [-79.9292059443041, 40.4948133271603], [-79.9292171476624, 40.4949651649872]]]]}",1307, ,MIDDLE ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,CORPORATION,RESIDENTIAL,SINGLE FAMILY,1944.0,,02-01-2001,2007.0,1,SHERIFF SALE,,,,,38100.0,BUNGALOW,1,1930.0,Frame,SHINGLE,Full,D,BELOW AVERAGE,FAIR,FAIR,4.0,2.0,1.0,0.0,Central Heat,0.0,0,1118.0,1.0,,2019.0
0168F00194000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9254743572024, 40.498709200675], [-79.9254690448446, 40.4986017956419], [-79.9254657797716, 40.4985369153735], [-79.925463834155, 40.4984976918725], [-79.9254607165152, 40.4984348442404], [-79.9254567004526, 40.4983543556724], [-79.9254536742249, 40.4982937049618], [-79.9254459140129, 40.4981375350991], [-79.9254431531638, 40.4980819730225], [-79.9254422178584, 40.4980630926713], [-79.925439626675, 40.498010785919], [-79.9254387683695, 40.4979935413124], [-79.925436215476, 40.4979422505244], [-79.9254346347, 40.4979108380571], [-79.9254319523028, 40.4978575312967], [-79.9254296571781, 40.4978109464858], [-79.9254270856427, 40.4977587510167], [-79.925420252123, 40.497621315425], [-79.9255954806761, 40.4976316334185], [-79.9255920751621, 40.4976654252675], [-79.9255795287701, 40.4978199525856], [-79.9255843120095, 40.4979263541865], [-79.9255802812835, 40.4986790309546], [-79.9260225605245, 40.4986469365453], [-79.9273683785443, 40.4989916740415], [-79.9264269225142, 40.4990214295991], [-79.926426712378, 40.4990214335533], [-79.9261819840109, 40.4990291729194], [-79.9254915717831, 40.4990509248035], [-79.9254913622403, 40.4990509287449], [-79.9254909764401, 40.499043143948], [-79.9254876106062, 40.4989753318275], [-79.9254842333505, 40.4989078143053], [-79.925480854695, 40.4988401013836], [-79.92547748523, 40.4987722359386], [-79.9254743572024, 40.498709200675]]]]}",0, ,N CANAL ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,CORPORATION,RESIDENTIAL,VACANT LAND,83984.0,08-09-2017,08-09-2017,2000.0,H,MULTI-PARCEL SA,09-29-1977,80000.0,,,1000.0,,,,,,,,,,,,,,,,,,,,,2019.0
0167M00367000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9348315853763, 40.4945550129252], [-79.9348181392829, 40.4943426530946], [-79.9348123869161, 40.4942517973258], [-79.934969571426, 40.4942536971358], [-79.9349907342226, 40.4945588947053], [-79.9348315853763, 40.4945550129252]]]]}",711, -713,MAIN ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,SUBURBAN (NORTH OF PITTSBURGH),REGULAR,COMMERCIAL,PARKING GARAGE/LOTS,4976.0,04-13-2016,04-07-2016,185000.0,H,MULTI-PARCEL SA,09-13-2005,35000.0,08-06-1993,137000.0,8000.0,,,,,,,,,,,,,,,,,,,,,2019.0
0167L00130000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9378939049971, 40.4957972085967], [-79.9380598714034, 40.495550097874], [-79.9381340380088, 40.4955755074579], [-79.9379683003994, 40.495822762231], [-79.9378939049971, 40.4957972085967]]]]}",104, ,N MAIN ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR,RESIDENTIAL,SINGLE FAMILY,2100.0,,09-05-2001,42000.0,U,OTHER VALID,,,,,40000.0,OLD STYLE,2,1900.0,Brick,SHINGLE,Full,D+,BELOW AVERAGE +,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Other,0.0,0,1580.0,1.0,,2019.0
0167M00323000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9335150707602, 40.4950683138766], [-79.9335045396625, 40.4949269861852], [-79.9336425971412, 40.4949185894118], [-79.9336533289028, 40.4950712357374], [-79.9335150707602, 40.4950683138766]]]]}",901, ,CLAY ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR,RESIDENTIAL,THREE FAMILY,2131.0,11-10-2003,11-10-2003,85000.0,Z,OTHER,07-22-2002,1.0,08-23-1967,0.0,53700.0,MULTI-FAMILY,2,1910.0,Frame,SHINGLE,Full,D,BELOW AVERAGE,POOR,POOR,12.0,6.0,2.0,1.0,Central Heat,0.0,0,2706.0,1.0,,2019.0
0168M00009000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9165167571081, 40.4959691982719], [-79.9165125656882, 40.4958848801905], [-79.9165277694529, 40.4958892465784], [-79.9167574255637, 40.4959552018869], [-79.9167487341987, 40.4960150204023], [-79.916704247537, 40.4962994881125], [-79.9165319426099, 40.4962746936165], [-79.9165167571081, 40.4959691982719]]]]}",1918, ,NOBLE ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,6800.0,04-21-2010,04-21-2010,0.0,3,LOVE&AFFECTION,11-03-2005,1.0,10-31-1990,1.0,44900.0,OLD STYLE,2,1910.0,Frame,SHINGLE,Full,D,BELOW AVERAGE,FAIR,FAIR,5.0,2.0,1.0,0.0,Central Heat,0.0,0,1800.0,1.0,,2019.0
0167M00104000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9356248565334, 40.4960408249381], [-79.9356092252233, 40.4958991607406], [-79.9357317078157, 40.495901129995], [-79.9357454759773, 40.4960452053302], [-79.9356248565334, 40.4960408249381]]]]}",607, ,PENN ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,1760.0,,03-30-1988,1.0,3,LOVE&AFFECTION,,,,,55100.0,OLD STYLE,2,1920.0,Frame,SHINGLE,Full,C-,AVERAGE -,FAIR,FAIR,5.0,2.0,1.0,0.0,Central Heat with AC,0.0,0,2034.0,1.0,,2019.0
0168M00284000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9170805971537, 40.4945593665632], [-79.9171594868392, 40.4942723255098], [-79.9172476125032, 40.4942874924353], [-79.9171682129427, 40.4945717055996], [-79.9170805971537, 40.4945593665632]]]]}",1921, ,MIDDLE ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR-ETAL,RESIDENTIAL,SINGLE FAMILY,2500.0,,05-03-1983,1.0,3,LOVE&AFFECTION,,,,,59100.0,OLD STYLE,2,1920.0,Frame,SHINGLE,Full,C,AVERAGE,FAIR,FAIR,6.0,4.0,1.0,0.0,Central Heat,0.0,0,1514.0,1.0,,2019.0
0168J00038000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9315019139095, 40.496381236196], [-79.9312032395695, 40.4963907134983], [-79.9311997860867, 40.4963395695174], [-79.9314867549879, 40.4963296033993], [-79.9314970833167, 40.4963292258586], [-79.9315019139095, 40.496381236196]]]]}",311, ,11TH ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR,RESIDENTIAL,SINGLE FAMILY,1450.0,,09-01-1994,27000.0,0,VALID SALE,,,,,40100.0,OLD STYLE,2,1880.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,5.0,2.0,1.0,0.0,Other,0.0,0,1456.0,1.0,,2019.0
0168L00350000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9230651242775, 40.4965301771331], [-79.9230842441697, 40.496356237631], [-79.9231721794697, 40.4963635091643], [-79.9231517130668, 40.4965384352395], [-79.9230651242775, 40.4965301771331]]]]}",1758, ,S CANAL ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR-ETAL,RESIDENTIAL,TOWNHOUSE,1442.0,05-29-2013,05-29-2013,1.0,3,LOVE&AFFECTION,08-02-1993,59500.0,,,79500.0,TOWNHOUSE,2,1979.0,Masonry FRAME,SHINGLE,Full,D+,BELOW AVERAGE +,AVERAGE,AVERAGE,6.0,3.0,1.0,1.0,Central Heat with AC,0.0,1,1368.0,1.0,,2019.0
0168J00072000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9323326535929, 40.4963916492859], [-79.9326575149736, 40.4963855874546], [-79.9326577904271, 40.4963940939114], [-79.9326592588481, 40.4964394411383], [-79.9323358533165, 40.4964488158654], [-79.9323330422836, 40.4964036544842], [-79.9323326535929, 40.4963916492859]]]]}",312, ,10TH ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,CORPORATION,RESIDENTIAL,SINGLE FAMILY,1800.0,11-24-2015,10-27-2015,18075.0,99,CORRECTN / DUP,08-03-2015,1859.0,12-12-2012,25000.0,25000.0,OLD STYLE,3,1875.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,5.0,2.0,1.0,0.0,Other,0.0,0,1866.0,1.0,,2019.0
0169J00070000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9151641069261, 40.4948416052676], [-79.9151824525911, 40.4947829133543], [-79.9151849223433, 40.4947758195972], [-79.9153852407086, 40.4948117231404], [-79.9153644335404, 40.4948777598906], [-79.9151641069261, 40.4948416052676]]]]}",212, ,21ST ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,1397.0,06-12-2009,06-12-2009,1.0,3,LOVE&AFFECTION,11-05-2003,36500.0,09-12-1985,0.0,38900.0,OLD STYLE,2,1900.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1584.0,1.0,,2019.0
0167R00008000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9369127363839, 40.4938224025146], [-79.9369774971536, 40.4938049244805], [-79.9371839723392, 40.4937484594236], [-79.9372065501199, 40.4937954229222], [-79.9372325723746, 40.4938495520221], [-79.9369618940441, 40.493924455908], [-79.9369127363839, 40.4938224025146]]]]}",15, -17,4TH ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR-ETUX OR ET VIR,RESIDENTIAL,TWO FAMILY,3200.0,,09-14-1983,22000.0,0,VALID SALE,,,,,85200.0,MULTI-FAMILY,2,1878.0,Brick,SHINGLE,Full,C-,AVERAGE -,AVERAGE,FAIR,10.0,4.0,2.0,1.0,Central Heat,0.0,0,2628.0,1.0,,2019.0
0168J00310000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9311162288254, 40.4945076326925], [-79.9310953749908, 40.4945161717176], [-79.9310974263607, 40.4942877960616], [-79.9313364355633, 40.494268713057], [-79.9313208235316, 40.4944253354995], [-79.9311162288254, 40.4945076326925]]]]}",1026, ,MAIN ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,SUBURBAN (NORTH OF PITTSBURGH),REGULAR-ETUX OR ET VIR,COMMERCIAL,APART: 5-19 UNITS,4757.0,12-13-2006,12-13-2006,55000.0,0,VALID SALE,12-30-1992,1.0,,,110100.0,,,,,,,,,,,,,,,,,,,,,2019.0
0168J00060000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9320588359018, 40.496016246508], [-79.9320701814847, 40.4962556043215], [-79.9319381369814, 40.4962598117176], [-79.9319257095202, 40.496013861138], [-79.9320588359018, 40.496016246508]]]]}",1016, ,PENN ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,CORPORATION,RESIDENTIAL,SINGLE FAMILY,3496.0,05-08-2019,05-08-2019,0.0,GV,GOVT SALE,08-30-1976,20000.0,,,123300.0,OLD STYLE,2,1900.0,Frame,SLATE,Full,C+,AVERAGE +,FAIR,FAIR,6.0,3.0,1.0,1.0,Central Heat,0.0,0,2730.0,1.0,,2019.0
0167M00269000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9361711152185, 40.4948574070986], [-79.9360288885757, 40.4951171557602], [-79.9360177404908, 40.4951129814162], [-79.9359932334672, 40.4947907236471], [-79.9361711152185, 40.4948574070986]]]]}",502, ,6TH ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,SUBURBAN (NORTH OF PITTSBURGH),REGULAR,COMMERCIAL,OFFICE/APARTMENTS OVER,3084.0,06-05-2014,06-05-2014,99000.0,36,QUIT CLAIM / SPEC WARRNTY,02-13-2006,25000.0,07-25-1990,1.0,59200.0,,,,,,,,,,,,,,,,,,,,,2019.0
0167M00228000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9350879753376, 40.4955478093056], [-79.9350539200412, 40.4952059920578], [-79.9351752928678, 40.4952095126946], [-79.9352102301852, 40.4955518795788], [-79.9350879753376, 40.4955478093056]]]]}",618, ,CLAY ST,PITTSBURGH,PA, ,15215,Sharpsburg  ,Fox Chapel Area,85202,REGULAR,RESIDENTIAL,SINGLE FAMILY,2550.0,06-03-2008,06-03-2008,61500.0,AA,SALE NOT ANALYZ,08-12-1999,1.0,10-14-1994,17500.0,79700.0,OLD STYLE,2,1910.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,AVERAGE,AVERAGE,5.0,3.0,1.0,0.0,Central Heat,0.0,0,1718.0,1.0,,2019.0
